Name,Address,Contact
NES International School Mumbai,"Malabar Hill Road, Vasant Garden, Mulund(W), Mumbai, Maharashtra, 400082, India",+91 22 25911478
NEXT School,"Park Road, Off Devi Dayal Road, Mulund W, Mumbai, Maharashtra, 400080, India",+91 22 25600036
Niraj International School,"Kandlakoya, 5 km from Dhola-ri-Dhani, Hyderabad, Telangana, 132133, India",+91 84 18200476
"Oakridge International School, Bachupally","Survey No 166/6, Bowrampet Village, Near Bachupally, Hyderabad, Telangana, 500043, India",+91 720 764 8111
"Oakridge International School, Bengaluru","Varthur Road, Near Dommassandra Circle, Sarjapur Hobli, Bengaluru, Karnataka, 562125, India",+91 0802 254 3600
"Oakridge International School, Gachibowli","Khajaguda, Nanakramguda Road, Cyberabad, Hyderabad, Telangana, 500008, India",+91 7207 648 111
"Oakridge International School, Mohali","Next to Thunderzone Amusement Park, Mohali, Punjab, 140307, India",+91 752 701 3370
"Oakridge International School, Visakhapatnam","NH 5 Road, Behind HP Petrol Bunk, Maharajpeta Junction, Tagarapuvalasa, Visakhapatnam, Andhra Pradesh, 531162, India",+91 773 081 6999
Oasis International School,"No. 29, 1st Stage, 1st Block, HBR Layout, Bengaluru, Karnataka, 560043, India",+91 8025433053
Oberoi International School,"Oberoi Garden City, Off Western Express Highway, Goregaon (E), Mumbai, Maharashtra, 400063, India",+91 22 4236 3131
Oberoi International School - JVLR Campus,"Jogeshwari Vikroli Link Road, Jogeshwari East, Mumbai, Maharashtra, 400060, India"
P P Savani Cambridge International School,"Mota varaccha, Abrama Road, At & Po Abrama Tah-Kamrej, Surat, Gujarat, 394150, India",+912616503388
Panbai International School,"Guru Narayan Rd, Sen Nagar, Near.B.M.C office, Santacruz (East), Mumbai, Maharashtra, 400055, India",+91 22 2617 7771
Pathways School Gurgaon,"Baliawas, Off Gurgaon Faridabad Road, Gurgaon, Haryana, 122003, India",+91 124 487 2000
Pathways School Noida,"Sector 100, Noida, Uttar Pradesh, 201301, India",+91 120 461 7000
"Pathways World School, Gurgaon","Aravali Retreat, Off Gurgaon Sohna Road, Gurgaon, Haryana, 122102, India",+91 124 451 3000
Pinnacle High International School,"Sunder lane, Orlem, Malad (w), Mumbai, Maharashtra, 400064, India",+91 22 2844 9155
Podar International School,"Ramee Emerald Building, Near Shamrao Vithal Bank, S.V.Road, Khar (West), Mumbai, Maharashtra, 400052, India",+91 22 2648 7321
Podar International School (Kalyan),"H/N 9, Next to Union Cricket Ground, Gandhari Viilage, Khadakpada, Kalyan, Maharashtra, 421301, India",+91 251 2203028
"Podar O.R.T International School, Worli","PODAR-ORT School Building, 68, Worli Hill Estate, Worli, Mumbai, Maharashtra, 400018, India",+91 7506112200
Primus Public School,"Post Box 21, Chikanayakanahalli Village, Off. Sarjapur Road, Bengaluru, Karnataka, 560035, India",+91 80 2574 1450
Prometheus School,"I-7, Jaypee Wishtown, Sector 131, Noida, Uttar Pradesh, 201304, India",+91 99 9987 6583
Punjab Public School,"Nabha, Punjab, 147201, India",+91 9316 780250
Queen Mira International School,"Melakkal Road, Kochadai, Madurai, Tamil Nadu, 625016, India",+91 96557 77000
Rasbihari International School,"Vrindavan, Nashik-Ozar Road, Nashik, Maharashtra, 422003, India",+91 253 230 4622
RBK International Academy,"Opp. Indian Oil Nagar, Near Shankara Colony, Ghatkopar-Mankhurd Link Road, Mumbai, Maharashtra, 400088, India",+91 7400091646/7/8/9
Redbridge International Academy,"#114, S Bingipura Village, Hulimangala Post, Begur-Koppa Road, Bangalore, Karnataka, 560105, India",+91 9620863456
RIMS International School and Junior College,"New Link Road, Near Fun Republic, Andheri West, Mumbai, Maharashtra, 400049, India",+91 22 6699 4333
Riverside International School,"c/o Project India, Project India Educational Center, Mori, Godavari, 533250, India",+91 8862226492
Rockwell International School,"Sy No.160(p), Gandipet Main Rd, Kokapet, Hyderabad, Telangana, 500075, India",+91 9618662201
Rungta International School,"Near Nandan Van, Veer Savarkar Nagar, Raipur, Chhattisgarh, 492099, India",+91 98261 45333
Ryan Global School,"Yamuna Nagar, Lokhandwala, Andheri (west), Mumbai, Maharashtra, 400058, India",+91 22 2632 0203/05
Sanatan High School,"D-Block, Ranjeet Nagar, Bharatpur, Rajasthan, 321001, India",+91 95 2119 1522
Sancta Maria International School - Faridabad,"Sector 93, Faridabad, Haryana, 121002, India",+91 99991 16900
Sancta Maria International School - Hyderbad,"Survey No 106/107, Serilingampally, Hyderbad, Telangana, 500019, India",+91 40 2301 1222
Sangam School of Excellence,"N.H. 79, Atun, Bhilwara By Pass, Chittorgarh Highway, Bhilwara, Rajasthan, 311001, India",+91 1482 249 700
Sanjay Ghodawat International School,"Gat No. 555, Kolhapur - Sangli Highway, Atigre, Maharashtra, India",+91 231 2689700
Sanskar School,"117-121, Vishwamitra Marg, Hanuman Nagar Ext., Sirsi Road, Jaipur, Rajasthan, 302012, India",+91 0141 2246189
Sarala Birla Academy,"Bannerghatta PO, Jigni Road, Bengaluru, Karnataka, 560083, India",+91 80 41348200/03
SCAD World School,"SCAD Knowledge City, Palladam - Pollachi Highway, Palladam, Tamil Nadu, 641664, India",+91 8012551468
Scindia Kanya Vidyalya,"Moti Mahal Road, Gwalior, Madhya Pradesh, 474009, India",+91 751 232 2137
Scottish High International School,"G-Block, Sector 57, Sushant Lok-II, Gurugram, Haryana, 122011, India",+91 124 4112781-90
Seedling International Academy,"Sector-4, Park Lane, Jawahar Nagar, Jaipur, Rajasthan, 302004, India",+91 141 2653377
SelaQui International School,"PO Sela Kui, Chakrata Road, Dehradun, Uttarakhand, 248197, India",+91 7669 04 04 04
Shantiniketan International School,"35-25, GKColony, Ramakrishnapuram, Secunderabad, Telangana, 500056, India",+91 73311 95555
Sharanya Narayani International School,"#232/1, Thoranahalli, Byranahalli post, Near Hoskote, Bengaluru, Karnataka, 563130, India",+91 80 46629500
Shigally Hill International Academy,"P.O.Box No. 239, Doon Valley, Shigally Estate, Mussoorie Road, Via Malsi Deer Park, Guniyal Gaon, Dehradun, Uttarakhand, 248001, India",+91 98370 98368
Shiv Nadar School Gurugram,"DLF City, Phase -1 Block -E, Pahari Road, Gurugram, Haryana, India",+91 124 4549200
Shiv Nadar School Noida,"Plot No -SS -1, Expressway Sector 168, Noida, Uttar Pradesh, 201305, India",+91 8130200199
Shree Swaminarayan Gurukul Vishwavidya Pratishthanam SGVP,"Nr. SGVP Circle, SG Highway, Chharodi, Ahmedabad, Gujarat, 382481, India",+91 2717 242138/9
"Silver Oaks International School, Bangalore","Sy No:188/3 & 188/4, Sarjapur Road, Dommasandra village, Bengaluru, Karnataka, 562125, India",+91 97394 75900
"Silver Oaks International School, Hyderabad","Miyapur-Dindigal Road, Bachupally, Hyderabad, Telangana, 500090, India",+91 40 23047777
"Silver Oaks International School, Visakhapatnam","Adj Gitam Medical College, Yendada Road, Rushikonda, Visakhapatnam, Andhra Pradesh, 530045, India"
"Singapore International School, Mumbai","On National Highway No. 8, Post Mira Road, Dahisar, Mumbai, Maharashtra, 401104, India",+91 222 828 5200
Smt. Sulochanadevi Singhania School,"Pokharan Road No.1, J K Gram, Thane (West), Maharashtra, 400606, India",+91 22 4036 8410/1
South City International School,"375 Prince Anwar Shah Road, Kolkata, West Bengal, 700068, India",+91 33 4007 2000
Sreenidhi International School,"Near Appa Junction, Moinabad, Hyderabad, Telangana, 500075, India",+91 9912244409
SRV International School,"Marappan Thottam, 4/3 Gandhi Salai, Pattanam Road, Rasipuram, Namakkal, Tamil Nadu, 637408, India",+91 96 5562 4458
Step by Step School,"Plot A 10, Sector 132 Taj Expressway, Noida, Uttar Pradesh, 201303, India",+91 12 0508 7300
Strawberry Fields High School,"Sector 26, Chandigarh, Punjab, 160019, India",+91 172 279 5903/5904
Suncity School,"Suncity Township, Sector 54, Gurgaon, Haryana, 122002, India",+91 (0)124 4845300 (Ext:302)
Sunflower English School,"Sunflower House, 80 Feet Road, Near Bhaktinagar Circle, Rajkot, Gujarat, 360002, India",+91 93772 12341
Sunshine Worldwide Secondary School,"20/1-B, Bainguinim, Off NH-748 By-pass Kadamba Road, Old Goa. Goa, 403402, India",+91 98 5032 3818
SVKM JV Parekh International School,"CNM School Campus, Dadabhai Road, Off. S.V. Road, Vile Parle (West), Mumbai, Maharashtra, 400056, India",+91 22 4233 3030
Symbiosis International School,"Symbiosis Viman nagar Campus, Off. New AirPort road, Viman Nagar, Pune, Maharashtra, 411014, India",+91 20 2655 7300
Taktse International School,"PO Box 90, Gangtok, Sikkim, 737101, India",+91 3592 237081
TCIS,"Survey no. 215/3, Varthur Sharjapur, Whitefield Main Road, Bangalore, Karnataka, India",+91 78 9902 5222
Thakur International School,"C.T.S. No. 1299 Shivaji Road, Off M.G. Road, Kandivali (W), Mumbai, Maharashtra, 400067, India",+91 22 2802 1333
The Assam Valley School,"P.O. Balipara, Dist. Sonitpur, Balipara, Assam, 784101, India",+91 9678074320
"The Bombay Suburban Grain Dealers' Junior College of Commerce, Arts & Science","Road No.1, Bhadran Nagar, S V Road, Malad (W), Mumbai, Maharashtra, 400064, India",+91 22 2808 5424
The British School,"Dr Jose P Rizal Marg, Chanakyapuri, New Delhi, Delhi, 110021, India",+91 11 4066 4166
"The British School, Chandigarh","Sector 44 B, Chandigarh, Punjab, 160044, India",+91 172 4605000
"The British School, Sector 8, Panchkula","Panchkula, Haryana, 134109, India",+91 172 4646246
The Cambridge School,"7& 7/1 Satyendra Nath, Majumder Sarani, Kolkata, West Bengal, 700026, India",+91 33 82320 42019
The Cathedral & John Connon School,"6 Purshottamdas Thakurdas Marg, Mumbai, Maharashtra, 400001, India",+91 22 2200 1282
"The Cathedral Vidya School, Lonavala","Village Shilatne, Taluk Maval, Post Office Karla, Pune, Lonavala, Maharashtra, 410405, India",+91 2114 282693
The Doon School,"Mall Road, Dehradun, Uttarakhand, 248001, India",+91-135 2526 400
The DPSG International (Delhi Public School Ghaziabad International),"P.O. Dasna, Hindon Nagar, Dasna, Kallu Garhi, Ghaziabad, Uttar Pradesh, 201303, India",+91 858 795 1424
The Emerald Heights International School,"Opposite Akashwani, A. B. Road, Rau, Indore, Madhya Pradesh, 453331, India",+91 872 000 9992/3
The Galaxy School,"SNK Main Building, University Road, Rajkot, Gujarat, 360005, India",+91 281 2588391/2588392
The Gaudium School,"Survey No. 148, Nanakramguda Village, Serilingampally, Nanakramguda, Hyderabad, Telangana, 500008, India",+91 73370 00200
"The Heritage School, Kolkata","994 Maduraha, Chowbaga Road, Anandpur, PO East Kolkata Township, Kolkata, West Bengal, 700107, India",+91 33 2443 0448
The International School Bangalore,"Whitefield-Sarjapur Road, Near Dommasandra Circle, Bengaluru, Karnataka, 562125, India",+91 80 6723 5900
The Lawrence School,"Sanawar, MDR 10, Solan, Himachal Pradesh, 173202, India",+91 1792 261208
The New Tulip International School,"Sterling City, Bopal, Ahmedabad, Gujarat, 380058, India",+91 27 17 329210
"The Pupil, Saveetha Eco School","4/68, Thiruverkkadu Road, Behind Saveetha Dental College, Poonamallee, Chennai, Tamil Nadu, 600056, India",+91 44 2680 2013
The Rajkumar College,"Dr Radha Krishnan Road, Gavliwad, Rajkot, Gujarat, 360001, India",+91 281 246 6064
The Riverside School,"307 Behind C.S.D Depot, Off Airport Road, Cantonment, Ahmedabad, Gujarat, 380004, India",+91 79 22861321
The Sanskaar Valley School,"Chandanpura, Bhopal, Madhya Pradesh, 462016, India",+91 755 325 5346
The Scindia School,"The Fort, Gwalior, Madhya Pradesh, 474008, India",+91 751 2480750
The Shri Ram School,"Moulsari Avenue DLF Phase-3, Gurgaon, Haryana, 122002, India"
The Universal School,"Plot No. 17, Near Lion's Garden, Tilak Road, Ghatkopar (E), Mumbai, Maharashtra, 400077, India",+91 773 8146 123
The White School International,"HiLITE Knowledge Village, Parammal, Perumanna, Kozhikode, Kerala, 673019, India",+91 95260 777 78
TIPS Bengaluru,"HBR Layout, Nagawara, Bangalore, Karnataka, 560045, India",+91 77 082 95959
TIPS Chennai,"No. 50/51, First Main Road, Perungudi Industrial Estate, Perungudi, Chennai, Tamil Nadu, 600069, India",+91 44 7118 8011
TIPS Erode,"Chennimalai Road, Senapathipalayam, Goundachi palayam post, Erode, Tamil Nadu, 638112, India",+91 967745 8888
TIPS Karur,"S.F.No. 371 & 379/1, Pazhamapuram, Poolampalayam (Post), Punnam Village, Karur, Tamil Nadu, 639163, India",+91 75 5815 9111
TIPS Kochi,"Edachira, Thengode(Post), Kakkanad, Kochi, Kerala, 682030, India",+91 48 4485 4850
TIPS Madurai,"No.3, VP Rathnasamy Nadar Street, BB Kulam, Madurai, Tamil Nadu, 625002, India",+91 97 8944 1188
TIPS Salem,"No 2, Mangayarkarasi Street, Off Advitha Ashram Road, Fairlands, Salem, Tamil Nadu, 636016, India",+91 92 8258 8888
TIPS Tirupur,"No.10/720, Arulpuram, Arulpuram (P.O.), Palladam Road, Tirupur, Tamil Nadu, 641605, India",+91 75 5817 9111
TIPS Trichy,"49/3, K.Kallikudi (North), Dindigul Main Road, Ramji Nagar, Srirangam Tk, Trichy, Tamil Nadu, 620009, India",+91 73 3911 1777
Treamis,"Hulimangala Post, near Electronics City, Bengaluru, Karnataka, 560105, India",+91 99723 99046
Trinity International School,"Plot No 247-248, Near Gokul Hall, Sion (E), Mumbai, Maharashtra, 400022, India",+91 22 24094344
Trio World Academy,"3/5 Kodigehalli Main Road, Sahakar Nagar, Bengaluru, Karnataka, 560092, India",+91 80 40611222
Trivandrum International School,"Edackcode, PO Korani, Trivandrum, Kerala, 695104, India",+91 471 2619051
Udgam School for Children,"Opp. Sardar Patel Institute, Thaltej, Ahmedabad, Gujarat, 380054, India",+91 79 7101 2345
Unison World School,"Mussoorie Diversion Road, Dehradun, Uttarakhand, 248009, India",+91 135 7113000
United World Academy (UWA),"Sy No. 1/1 and 62, Chikkawadayerapura, Sarjapur Hobali, Anekal Taluk, Bengaluru, Karnataka, 560087, India",+91 7624981601
Uttpal Shanghvi School,"East West Road No.3, J.V.P.D. Scheme, Juhu, Mumbai, Maharashtra, 400049, India",+91 22 2620 7413
UWC Mahindra College,"Village Khubavali, PO Paud, Taluka Mulshi, Pune, Maharashtra, 412108, India",+91 97644 42751 54
Vaels International School,"Pon Vidhyashram Gardens, Off East Coast Road, Injambakkam, Chennai, Tamil Nadu, 600115, India",+91 44 6565 2992
"Vibgyor High School, Pune (NIBM Road)","Dorabjee Paradise, Near Palace Orchard, Off. Corinthian Club Road, Extn NIBM Road, Mohammedwadi, Hadapsar, Pune, Maharashtra, 411060, India",+91 20 3044 6000
"Vibgyor High, Mumbai (Goregagon)","Motilal Nagar - 1, Srirang Sabde Marg, Off. Link Road, Goregaon, Mumbai, Maharashtra, 400104, India",+91 22 3957 7070
"Vibgyor High, Vadodara","Opp Banco Product, Padra Road, B/H Bhayali Railway Station, Vadodara, Gujurat, 391410, India",+91 265 3076 101
Victorious Kidss Educares,"Survey No. 53, 54 & 58, Hissa No. 2/1A, Off. Shreeram Society, Nagar Road, Kharadi, Pune, Maharashtra, 411014, India",+91 20-67116300/1/2
Vidhyashram International School,"Ahead of Shikargarh Mini Market, Defence Lab Road, Jodhpur, Rajasthan, 342015, India",+91 291 222 7976
Vidya Global School,"Vidya Knowledge Park, Baghpat Road, Meerut, Uttar Pradesh, 250002, India",+91 121 2439188/89/92
Vidyanjali International School,"20/1, Ram Mohon Dutta Road, Kolkata, West Bengal, 700020, India",+91-33-2486 1771
Vikaasa World School,"Ponnagaram Compound, New Jail Road, Madurai, Tamil Nadu, 625014, India",+91 9597607888
Vishwashanti Gurukul,"Rajbaug, off Pune-Solapur Highway, Loni, Pune, Maharashtra, 412201, India",+91 20 39210000
VIVA The School,"Beside VVIT college campus, NAMBUR village, Pedakakani Mandal, Nambur, Guntur, Andhra Pradesh, 522508, India",+91 73 3114 2336
Vivek High School,"Vidya Path, Sector 38-B, Chandigarh, Punjab, 160036, India",+91 172 269 8988
Welham Boys' School,"5 Circular Rd, Dalanwala, Dehradun, Uttarakhand, 248001, India",+91 135 265 7120
Wisdom High International School,"Rameshwar Nagar, Anandwali, Gangapur Road, Nashik, Maharashtra, 422007, India",+91 253 2338795
Witty International School Bhilwara,"7 D 8, Ahead Shreenath Circle, RC Vyas Colony, Bhilwara, Rajasthan, 311001, India",+91 1482 239153
Witty International School Malad,"Ramchandra Lane, Malad (W), Mumbai, Maharashtra, 400064, India",+91 22 28882310
Witty International School Udaipur,"1 Witty Lane, Gaurav Path, Nathdwara Road, Opp Sukher Thana, Udaipur, Rajasthan, 313004, India",+91 92142 55667
Witty World Goregaon,"Plot No 165, Near Ayappa Temple, Bangur Nagar, Goregaon, Mumbai, Maharashtra, 400062, India",+91 92230 11704
Wockhardt Global School,"Dr Habil Khorakiwala Education and Health Foundation, E-1/NP-1, SEZ, Five Star Industrial Estate, MIDC, Shen+, Aurangabad, Maharashtra, 431154, India",+91 240 6662888
Woodstock School,"Mussoorie, Uttarakhand, 248179, India",+91 135 263 9000
Yadavindra Public School,"New Lal Bagh, Patiala, Punjab, India",+91 1752 215634
