column0,column1,column2
Dr. Ankur Raval Hospital,"Address: Near Dave Hospital, Khambhat, Anand, Gujarat, 388620","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Arora Vijay Memorial Hospital,"Address: 201-R, Model Town, Rewari, Haryana, 123401","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Aroras Nursing Home,"Address: 1G/46, Opposite Bus Stand, Kl Mehta Rd, New Industrial Township 1, New Industrial Township, Faridabad, Haryana, 121001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Arvind Shenoi,"Address: 1 Main Road, Sheshadripuram, Bengaluru Urban, Karnataka, 560001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Asha Singhs Nursing Home,"Address: 176, Anugrahpuri Colony, Gaya, Bihar, 823001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Ashish A. Shah,"Address: 2, Bhimanath Shopping Centre, Somnath Chowk, Mahesana, Gujarat, 384001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Ashish B. Dave,"Address: 2Nd Floor, Aakash Complex, Opposite Bhagawan Chambers, Near Gopal Tower, Station Road, Ahmedabad, Gujarat, 380008","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Ashok Gupta Hospital,"Address: Ashoka Colony, Karnal, Haryana, 132001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Ashok Jain,"Address: 272, Sector-7, Gurgaon, Haryana, 122001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Atul H Kansara `S (E.N.T) Hospital,"Address: 16, First Floor, Shalimar Complex Mahalaxmi, Panch Rasta, Paldi, Ahmedabad, Gujarat, 380007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. B. M. Patil Multispeciality Hospital,"Address: Rex Store Social Club Road, Kali Ambrai, Belagavi, Karnataka, 590001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. B. Venkatasubbarao Memorial Hospital,"Address: 53, 7Th Cross, 4Th Main Road, Malleswaram, Bengaluru Urban, Karnataka, 560003","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. B.R. Ambedkar Hospital and Research Centre,"Address: Hilsa, Nalanda, Bihar, 801302","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. B.R. Ambedkar Memorial Hospital,"Address: NA, Raipur, Chhattisgarh, 493661","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Bagewadis Eye and Dental Care Centre,"Address: 1354, Basvan Road, Belagavi, Karnataka, 590001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Baglas Nursing Home,"Address: Delhi Mathura Road, Palwal, Haryana, 121102","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Baini Parshad Hospital,"Address: Jagadhri Road, Ambala, Haryana, Ambala, Haryana, 134007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Bal Krishna Gupta Hospital,"Address: Near Sevak Sabha Hospital, Raj Ultrasound, Near Bus Stand, Hisar, Haryana, 125001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Balbir Nursing Home,"Address: 28, Sector, 14, Urban Estate, Karnal, Haryana, 132001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Beena Sachdeva Nursing Home,"Address: Shahid Bhagat Singh Marg, Block D, New Industrial Twp 5, New Industrial Town, Faridabad, Haryana, 121013","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Bhandare hospital,"Address: Fontainhas, Panaji north , South Goa, Goa, 403001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Bhardwaj Desai Hsopital,"Address: 35, Sampat Rao Colony, Nr.Royal Hotel R.C.Dutt Road, Vadodara, Gujarat, 390007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Bhatt Hospital,"Address: Mirnal Shopping Centre 1St. Floor Room No. 10 11, 12 Isanpur Varva Road, Ahmedabad, Gujarat, 382345","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Bhatt Hospital-I.C.U.,"Address: Junaraopura, Nadiad, Kheda, Gujarat, 387001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Bhavesh Patel`S Hospital,"Address: 5-B, Indraprasth Complex, 1St Floor, Nizampura, Opposite Swaminarayan Nagar, Vadodara, Gujarat, 390002","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Bimal Hospital and Research Center,"Address: Sheikhpura, Raza Bazar, Baily Road, Patna, Bihar, 800014","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Bimal Hospital And Researhc Centre Pvt Ltd,"Address: Sheikhpura, Raja Bazar, Bailey Road, Patna, Bihar, 800014","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Brajesh Kumar Ortho and Trauma Care,"Address: Juran Chapra, Road No.1, Muzaffarpur, Bihar, 842001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. C. P. Dave,"Address: Parimal, Majmudar Wada, Pratap Road, Raopura, Vadodara, Gujarat, 390001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. C. Sinhababu,"Address: 68-B, Sector 11, Main Market Mujessar, Faridabad, Haryana, 121001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Chandra Shekhar Shah,"Address: Masakchak, Bhagalpur, Bihar, 812001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Chandrakant M. Shah,"Address: Opposite Suryanarayan Baug, Raopura, Vadodara, Gujarat, 390001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Chaudhary Hospital and Research Institute,"Address: Refferal Roda, Forbesganj, Araria, Bihar, 854318","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. D. C Gupta,"Address: 10/23, Amin Market, Nit, Faridabad, Haryana, 121001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Dahyabhai Patel Clinic,"Address: Maya Bazzar, Visnagar, Mahesana, Gujarat, 384315","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Dalwadi Eye Hospital,"Address: 1St Floor Medicenter, Opposite Moghabhai Hall, Valsad, Gujarat, 396001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Dandekar Eye Clinic And Surgery Centre,"Address: Nea Manukrao Akhada, Vadodara, Gujarat, 390001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Deshkar Nursing Home,"Address: Near J.P. Vihar Mangla, Bilaspur, Chhattisgarh, 495001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Devangs Eye Hospital,"Address: First Floor, Mangaidas Shopping Centre, Nr Palanpur Patia, Shak Market, Rander Road, Surat, Gujarat, 395003","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Devendra Kanaiyalal Hosp and Nursing Home,"Address: 11-12, Nand Apartment, Ahmedabad, Gujarat, 380001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Devendra Patel Nursing Home,"Address: Umalaya, Swastic Society, Navrangpura, Ahmedabad, Gujarat, 380009","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Dhani Ram Baruah Heart Institute and Research Ce,"Address: Dr. Baruah Heart City, Sonapur, Kamrup, Assam, 781104","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Dhruvpal Sisodia Ortho and Eye Care Hospital,"Address: Nr. Shtanakvasi Jain Upashray, Mahavir Chowk, Anand, Gujarat, 388001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Dhumaskar General Hospital,"Address: Tivim Bazar, Tivim, North Goa, Goa, 403502","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Dilip Modi Hospital,"Address: 1, Nutan Servoday Society, B/H Kochrab Ashram, Ellisbridge, Ahmedabad, Gujarat, 380006","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Dinesh Pandhi's New Hospital,"Address: Vkv Road, Nadiad, Kheda, Gujarat, 387001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Edibam Hospital,"Address: G-10, 11, Muktanand Nagar, 1St Floor, Sardar Circle, Rander Adajan Road, Adajan, Surat, Gujarat, 395009","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. G.C.Gupta Hospital,"Address: 372-373, Huda Sec-2, Panipat Haryana, Panipat, Haryana, 132103","Contact: Emergency Number: 9812060848, Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Gain Bhushan Nursing Home and Heart Centre,"Address: Kunjpura Road, Karnal, Haryana, 132022","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Gayatri Choudhary,"Address: Shivaji Chock, Bhagalpur Road, Banka, Bihar, 813102","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Girish K. Zinzuvadia,"Address: 2Nd Floor, Manju Shanti, Shiyapura, Raopura, Vadodara, Gujarat, 390001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Girjashankar Prasad Memorial Marksman Hospital (Unit Of Marksman Resarch and Devlopment Pvt. Ltd.),"Address: Opposite Durga Mandap Beside Ashok Leyland Office. Demotand, Hazaribag, Jharkhand, 825301","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Gracias Nursing Home,"Address: Next To Police Station, South Goa, Goa, 403601","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Guptas Children Hospital and General Nursing Hom,"Address: Opp Civil Hospital, Baroda Road, Gohana, Sonipat, Haryana, 131301","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Gururaj K. Kakhandki Maternity and Nursing Home,"Address: District Ilkal, Bagalkot, Karnataka, 587125","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Handas Eye Hospital,"Address: B-5, Yogeshwar Park Society, Makarpura Road, Nr. Bhawans School, Vadodara, Gujarat, 390009","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Har Bhagwan Memorial Hospital,"Address: Main Road Near Bus Stand, P.O. Ladwa, Kurukshetra, Haryana, 136132","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Hemant Kumar Das,"Address: Babu Tola, Amarpur Road, Banka, Bihar, 813102","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Indu - Madhu Medical Centre,"Address: Near Jain Temple, Chandi Bazar, Jamnagar, Gujarat, 361001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. J. K. Barma Memorial Medicare and Reaserch Centre,"Address: Neelam Road, Munger, Bihar, 811201","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. J.P. Singh,"Address: 846/15D Ashok Nagar, Sonipat, Haryana, 131001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Jagdish Chandra Clinic,"Address: Jawahar Colony, Gurdwara Road, N.I.T, Faridabad, Haryana, 121005","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Jagdish Prasad Memorial Hospital.,"Address: Jagdish Bhavan, Raniganj, Gaya, Bihar, 824210","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Jain`S Clinic and Nursing Home,"Address: 5-E/29-A, B.P, Near B.K. Hospital N.I.T, Faridabad, Haryana, 121001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Jaladhi M. Parikh Eye Hospital,"Address: 1St Floor, Manek Apartment, Nehrunagar Char Rasta, Near Jain Derasar, Ahmedabad, Gujarat, 380015","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Janki V. Amin,"Address: Rabariwad, Nadiad, Kheda, Gujarat, 387001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Janyantibhai N. Patel,"Address: Mator, Vadnagar, Mahesana, Gujarat, 384355","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Jaulkar Ent Hospital,"Address: Purani Basti Thana Chowk, Kankalipara Road, Raipur, Chhattisgarh, 492001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Jayesh C. Gandhi Surgical Hospital,"Address: B/H.Boston Guest House, Old Junction Road, Surendranagar, Gujarat, 363001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Jesangbhai F. Chaudhari,"Address: Kapasia Bajar, Mahesana, Gujarat, 384001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. K. V. Modi,"Address: Nana Kumbhnath Road, Nadiad, Kheda, Gujarat, 387001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. K.D's Eye Hospital,"Address: 513- C, Sainik Colony, Jammu, Jammu and Kashmir, 180011","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. K.S. Arora,"Address: 5E/5 Railway Road Opp Dargah Peer Rattan Nath Ji N.I.T, Faridabad, Haryana, 121001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. K.S. Jindal,"Address: 3-E/35, B.P. N.I.T, Faridabad, Haryana, 121001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kadam Eye Hospital 7 Institute,"Address: 8, Urmi Society.Productivity Road, Akota, Vadodara, Gujarat, 390007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kalicharan Das Nursing Home and Polyclinic,"Address: Gopinath Nagar, Kalapahar, Opp Barua Cancer Institute, Kamrup, Assam, 781016","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kalpana Khandheria Hospital,"Address: Opposite Amber Talkies, Behind Hotel Celebration, Indira Marg, Jamnagar, Gujarat, 361008","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kalpana Munshi Nursing Home,"Address: S.B.K Society, Narayananagar, Paldi, Ahmedabad, Gujarat, 380007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kandarp P. Parikh (Shyam Urosurgical Hospital),"Address: 3Rd Floor, Royal House, Nr. Golden Triangle, Sardar Patel Stadium Road, Navrangpura, Ahmedabad, Gujarat, 380009","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kantaks Accident Fracture And Orthopaedic Hospital - Margao,"Address: Rosadel Enclave, Near District Court, Old Market, South Goa, Goa, 403601","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kapse Children Hospital,"Address: Akshar Complex, 1St Floor, Near Kwality Hotel, Makkaipul, Surat, Gujarat, 395001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Karan Hospital,"Address: Village Ghuggar Tanda, Palampur, Kangra, Himachal Pradesh, 176061","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Karan Nursing Home,"Address: P.O. - Manendragarh, Korea, Chhattisgarh, 497442","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kaushal Surgical Hospital and Maternity Home,"Address: Court Road, Model Town, Rewari, Haryana, 123401","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kaushik Vaidhya Medical Nursing Home,"Address: D-1, Medical Complex, Nr. Chandani Appts., Sola Road, Ahmedabad, Gujarat, 380008","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kedar Hospital,"Address: Aakash Bhavan, Above Mapusa Urban Co-Operative Bank, North Goa, Goa, 403001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Khokhani Eye Hospital,"Address: 2Nd Floor, Sankalp Compl. Nr, Bus Stand, Junagadh, Gujarat, 362001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kirit R. Jani,"Address: 12, Gd High School, Muncipal Market, Near Railway Station, Mahesana, Gujarat, 384315","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kodkany`S Eye Centre,"Address: 1 St Floor, Herwadkar, Mansion, 1575, Maruti Galli, Belagavi, Karnataka, 590001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kotwal Maternity Hospital,"Address: Plot No 62, 4816/2, Subhash Nagar, Belagavi, Karnataka, 590016","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kulkarni Eye Hospital,"Address: Gopal Swamy ( Moka) Road, Gandhinagar, Ballari, Karnataka, 583103","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kumars Clinic,"Address: 1St Floor, Sahyog Complex, Nr Delux Char Rasta, Nizampura, Vadodara, Gujarat, 390002","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Kundu Poly Clinic,"Address: Gola Bazar, Sherghati, Gaya, Bihar, 824211","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Labanas Child Care Centre,"Address: Anaj Market Road, Baharpura, Sardar Chowk, Padav, Dahod, Gujarat, 389151","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Lakhotia's Eye Hospital,"Address: C-4, Main Market, Sector-37, Delhi-NCR, Faridabad, Faridabad, Haryana, NA","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Lataben Golwalkar,"Address: Blood Bank Circle, Diamond Chowk, Bhavnagar, Gujarat, 364001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Lawande`S Hospital,"Address: Near Power House, Aquem, South Goa, Goa, 403601","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Leela B Patel,"Address: Prabhooli, Behind G.P.O, Vadodara, Gujarat, 390001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. M M Haque Nursing Home,"Address: Binod Pur, Katihar, Bihar, 854105","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. M.C. Jain Eye Clinic,"Address: Productivity House, 1St Floor, Productivity Road, Alkapuri, Vadodara, Gujarat, 390007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. M.I. Vaja Hospital,"Address: Chittakhana Chowk, Junagadh, Gujarat, 362001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. M.R. Bhagwat Memorial Hospital,"Address: 7, South Avenue, Choubey Colony, Raipur, Chhattisgarh, 492001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Madkaikers City Hospital,"Address: 1St Floor, Ashirwad Building, Opposite Minaxi Hotel, South Goa, Goa, 403601","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Maharaj Kr. Goel,"Address: Hn 6/7 Rewani Rd Narnaul, Mahendragarh, Haryana, 123001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Mahendra Naik,"Address: Adit Medical Centre, Behind Hindustan Garage, Nr. High Court Rly Crossing, Navrangpura, Ahmedabad, Gujarat, 380009","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Mahendra Shahs Hospital,"Address: Opposite C P College, Bhalej Road, Anand, Gujarat, 388001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Mahesh Rathod Hospital - Rajkot,"Address: 1, Sardarnagar, Near Astrom Chowk, Rajkot, Gujarat, 360001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Maj.Sanjay Kumar,"Address: Station Road, Khandakpar, Nalanda, Bihar, 803101","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Malay D. Patel Hospital,"Address: 90-B, Swastik Society, Nr Swastik Cross Roads, Navrangpura, Ahmedabad, Gujarat, 380009","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Maniars Ent Hospital,"Address: Star Complex, Iind Floor, S.T. Road, Junagadh, Gujarat, 362001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Manish Ravals Hospital,"Address: 5Th Floor, Bodycare Medical Centre, Juna Wadaj, Ahmedabad, Gujarat, 380013","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Manju (Chauhan) Kumari,"Address: Baipass Road, Mahisouri, Jamui, Bihar, 811307","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Manoj Tank E.N.T. Hospital,"Address: Agrawal Chamber, 2Nd Floor.Opposite Town Halll, Asharam Road, Ahmedabad, Gujarat, 380007","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Manseta Ent Hospital Pvt. Ltd.,"Address: Ellisbridgre Shopping Centre, 25, 1St Floor, Opposite Town Hall, Ashram Road, Ellisbridge, Ahmedabad, Gujarat, 380006","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Meenakshi Jain Hospital,"Address: 55/6, Gandhi Nagar, Near Telegraph Office, Jind, Haryana, 126102","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Milkhi Ram Eye and Maternity Hospital,"Address: Sadar Bazar Ambala Cantt, Ambala, Haryana, 133001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Millwala Children Hospital,"Address: Nr. Vishwakarma Chowk, Savalivad, Godhra, Panchmahal, Gujarat, 389001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Mini Khetarpal Maternity Centre,"Address: Opposite Mother Dairy Booth Near City Park Mohna Road, Ballabgargh, Faridabad, Haryana, 121004","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Modi's Medical Hospital,"Address: 2A, Virnagar Society, S.T. Workshop Road, At & Post, Mahesana, Gujarat, 384002","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
Dr. Modis Medical Hospital,"Address: Pilajiganj First Floor Behind Bank Of Baroda A.T & Post, Mahesana, Gujarat, 384001","Contact: Emergency Number: , Ambulance Phone Number: , Bloodbank Phone Number: , Tollfree Number: , Helpline Number:"
